Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,2264.0,16.0,517.0,6957.0,0.0,12734.55491499856,0.0,0.0,1401.2379350662231,,,,,,,,,,,,,,,,,,,,,2075.030266944942,345.399320128147,2403.999989544692,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,2650.0,17.0,386.0,7343.0,0.0,9986.368986595277,0.0,0.0,1439.392593383789,,,,,,,,,,,,,,,,,,,,,2053.4711133352853,343.91425644647865,2355.573922719059,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,3154.0,18.0,504.0,7847.0,0.0,12292.501558064372,0.0,0.0,1488.869740486145,,,,,,,,,,,,,,,,,,,,,2020.4527255787966,340.81514220788614,2390.345744690776,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,3182.0,19.0,28.0,7875.0,0.0,1357.6969021958864,0.0,0.0,1491.9454100131989,,,,,,,,,,,,,,,,,,,,,1054.929010825775,26.463592807523053,1084.0737164320428,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,3353.0,20.0,171.0,8046.0,0.0,4714.427609213991,0.0,0.0,1508.5918192863464,,,,,,,,,,,,,,,,,,,,,1672.09047161581,269.421176495943,1948.8435283663785,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,155.0,1.0,155.0,8201.0,0.0,4375.5712579245155,0.0,0.0,2042.6926019191742,,,,,,,,,,,,,,,,,,,,,1654.4814108487467,290.2435437575672,1974.336676214289,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,388.0,2.0,233.0,8434.0,0.0,6502.603976685665,0.0,0.0,2066.304003715515,,,,,,,,,,,,,,,,,,,,,1901.6655918000797,366.1849547238457,2296.320408271169,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,532.0,3.0,144.0,8578.0,0.0,3712.397122708363,0.0,0.0,2080.7435550689697,,,,,,,,,,,,,,,,,,,,,1476.7079642742688,199.2265355722543,1700.6552103011272,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,785.0,4.0,253.0,8831.0,0.0,6205.533558031611,0.0,0.0,2105.892848968506,,,,,,,,,,,,,,,,,,,,,1738.5885699074684,280.1129089539933,1991.446869067943,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,836.0,5.0,51.0,8882.0,0.0,1881.8778666207008,0.0,0.0,2111.153972864151,,,,,,,,,,,,,,,,,,,,,1203.4120156553822,99.03098438300225,1311.5781607489705,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,1133.0,6.0,297.0,9179.0,0.0,7246.283421769338,0.0,0.0,2140.865745782852,,,,,,,,,,,,,,,,,,,,,1790.4707462443932,305.1463004663149,2103.1562394724046,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1304.0,7.0,171.0,9350.0,0.0,4897.8019410785655,0.0,0.0,2157.915643930435,,,,,,,,,,,,,,,,,,,,,1726.1507270253237,321.7568853525637,2093.168435115867,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1438.0,8.0,134.0,9484.0,0.0,3572.793111549189,0.0,0.0,2171.4335045814514,,,,,,,,,,,,,,,,,,,,,1475.3280095873213,195.2631844368335,1674.2749377177208,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1663.0,9.0,225.0,9709.0,0.0,5292.572739503061,0.0,0.0,2193.8572511672974,,,,,,,,,,,,,,,,,,,,,1600.0456808255524,238.57887647633862,1841.9498787616558,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1714.0,10.0,51.0,9760.0,0.0,1996.211922258466,0.0,0.0,2199.32648229599,,,,,,,,,,,,,,,,,,,,,1234.3731518988209,119.43012413636066,1394.4307874605315,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1874.0,11.0,160.0,9920.0,0.0,4099.362733850958,0.0,0.0,2214.957534790039,,,,,,,,,,,,,,,,,,,,,1516.8984344171804,218.20774273735773,1781.4801301558193,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
