Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,786.0,16.0,33.0,2024.0,0.1,22.90400000000001,0.0,0.0,333.90272068977356,,,,,,,,,,,,,,,,,,,,,8.395542526243007,7.19737710440572,20.54226197973656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,813.0,17.0,27.0,2051.0,0.1,13.503999999999996,0.0,0.0,336.8950536251068,,,,,,,,,,,,,,,,,,,,,4.3012710706337876,4.296923838130346,12.593262739443807,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,863.0,18.0,50.0,2101.0,0.1,25.505000000000013,0.0,0.0,342.08973121643066,,,,,,,,,,,,,,,,,,,,,9.08321764969018,6.576190823425066,21.389032930471274,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,895.0,19.0,32.0,2133.0,0.1,18.704000000000015,0.0,0.0,345.37007880210876,,,,,,,,,,,,,,,,,,,,,6.10527637877766,5.996329279352414,17.09041073236521,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1010.0,20.0,115.0,2248.0,0.1,64.60400000000004,0.0,0.0,355.8520998954773,,,,,,,,,,,,,,,,,,,,,19.059669653568548,12.507729669126023,43.55206601203569,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,41.0,1.0,41.0,2289.0,0.1,25.605000000000015,0.0,0.0,482.38796496391296,,,,,,,,,,,,,,,,,,,,,8.436489854926748,7.7952473716321,22.595693459320504,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,69.0,2.0,28.0,2317.0,0.1,17.004000000000012,0.0,0.0,485.4201476573944,,,,,,,,,,,,,,,,,,,,,5.830663716322469,5.570452151656764,15.683516130425167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,216.0,3.0,147.0,2464.0,0.1,109.00499999999998,0.0,0.0,498.73415446281433,,,,,,,,,,,,,,,,,,,,,37.10896651041583,19.751853302189247,59.55977409677228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,244.0,4.0,28.0,2492.0,0.1,14.504999999999995,0.0,0.0,502.0088167190552,,,,,,,,,,,,,,,,,,,,,4.538310381416058,4.6997977121516294,13.502982443835837,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,285.0,5.0,41.0,2533.0,0.1,24.006000000000014,0.0,0.0,506.2365052700043,,,,,,,,,,,,,,,,,,,,,8.481881963516043,7.142065620194433,20.94523864397349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,392.0,6.0,107.0,2640.0,0.1,72.504,0.0,0.0,516.0474009513855,,,,,,,,,,,,,,,,,,,,,25.60988002823713,14.64766587923696,46.017170053858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,447.0,7.0,55.0,2695.0,0.1,33.60699999999999,0.0,0.0,521.4220108985901,,,,,,,,,,,,,,,,,,,,,11.799845317852473,9.352846344325783,27.66767174286412,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
